VCP SETUP C — 2126 stocks — 2015-2026
Total: 1410 | WR: 55.7% | R:R: 2.02 | Exp: +6.9%

STOCK        DATE            ENTRY     EXIT    RET%  W  DAYS REASON  
-----------------------------------------------------------------
BRIGADE      2017-06-22     174.03   164.27    -5.6%  L     8 sl_hit  
PHOENIXLTD   2017-06-27     222.58   232.09    +4.3%  W    90 time_up 
WELCORP      2017-06-28      91.95   107.99   +17.4%  W    90 time_up 
ASHOKLEY     2017-07-04      41.87    52.39   +25.1%  W    91 time_up 
JBMA         2017-07-06      65.76   111.65   +69.8%  W    90 time_up 
MAHSEAMLES   2017-07-06     189.05   192.05    +1.6%  W    90 time_up 
SOLARINDS    2017-07-07     819.19   896.01    +9.4%  W    90 time_up 
GODREJIND    2017-07-11     667.98   598.75   -10.4%  L    29 sl_hit  
KPRMILL      2017-07-11     158.24   145.67    -7.9%  L    90 time_up 
GRASIM       2017-07-17     957.94  1086.32   +13.4%  W    91 time_up 
MAHSCOOTER   2017-07-17    1698.01  2391.35   +40.8%  W    91 time_up 
BAJFINANCE   2017-07-19     150.17   181.84   +21.1%  W    90 time_up 
PIDILITIND   2017-07-19     381.48   387.12    +1.5%  W    90 time_up 
ADANIPORTS   2017-07-21     363.44   383.25    +5.5%  W    90 time_up 
BHARTIARTL   2017-07-21     353.39   407.05   +15.2%  W    90 time_up 
MANAPPURAM   2017-07-21      88.98    79.17   -11.0%  L    20 sl_hit  
JINDALSAW    2017-07-24      41.76    50.21   +20.2%  W    91 time_up 
PGEL         2017-07-24      33.58    39.59   +17.9%  W    91 time_up 
APOLLOTYRE   2017-07-25     233.94   213.74    -8.6%  L    64 sl_hit  
GODREJCP     2017-07-25     620.55   570.49    -8.1%  L     8 sl_hit  
DEEPAKFERT   2017-07-26     295.85   388.28   +31.2%  W    90 time_up 
CHOLAFIN     2017-07-27     229.04   212.49    -7.2%  L    90 time_up 
MARICO       2017-07-27     287.14   277.19    -3.5%  L    90 time_up 
OBEROIRLTY   2017-07-28     378.70   350.52    -7.4%  L    13 sl_hit  
CAPLIPOINT   2017-08-02     698.59   646.78    -7.4%  L    90 time_up 
HSCL         2017-08-02      84.14   170.86  +103.1%  W    90 time_up 
JKTYRE       2017-08-02     152.89   135.21   -11.6%  L     8 sl_hit  
ABREL        2017-08-04    1174.55  1313.44   +11.8%  W    90 time_up 
BBTC         2017-08-07     892.44  1586.16   +77.7%  W    91 time_up 
MUTHOOTFIN   2017-08-08     413.17   374.49    -9.4%  L     2 sl_hit  
BEML         2017-08-14     684.93   663.31    -3.2%  L    91 time_up 
CONCOR       2017-08-16     442.28   482.64    +9.1%  W    90 time_up 
JUBLFOOD     2017-08-16     136.36   166.78   +22.3%  W    90 time_up 
TVSMOTOR     2017-08-16     559.76   672.88   +20.2%  W    90 time_up 
CHENNPETRO   2017-08-24     346.30   345.46    -0.2%  L    90 time_up 
GODREJPROP   2017-08-28     540.55   715.80   +32.4%  W    91 time_up 
PGHH         2017-08-30    7384.17  8270.94   +12.0%  W    90 time_up 
BAJAJ-AUTO   2017-09-01    2339.17  2651.30   +13.3%  W    90 time_up 
ELGIEQUIP    2017-09-01     114.90   129.24   +12.5%  W    90 time_up 
TATAINVEST   2017-09-05      75.57    73.92    -2.2%  L    90 time_up 
TITAN        2017-09-05     621.10   559.66    -9.9%  L    23 sl_hit  
BAJAJFINSV   2017-09-07     560.46   509.31    -9.1%  L    18 sl_hit  
EICHERMOT    2017-09-07    3073.36  2800.46    -8.9%  L    84 sl_hit  
MINDACORP    2017-09-07     109.94   176.34   +60.4%  W    90 time_up 
SAMMAANCAP   2017-09-07     957.67   859.71   -10.2%  L    90 time_up 
LT           2017-09-08    1040.11  1080.92    +3.9%  W    90 time_up 
TRENT        2017-09-08     286.43   333.11   +16.3%  W    90 time_up 
WHIRLPOOL    2017-09-08    1195.89  1507.12   +26.0%  W    90 time_up 
BATAINDIA    2017-09-11     668.66   684.04    +2.3%  W    91 time_up 
DCMSHRIRAM   2017-09-11     399.67   507.69   +27.0%  W    91 time_up 
PETRONET     2017-09-11     166.85   175.41    +5.1%  W    91 time_up 
ACC          2017-09-12    1709.85  1559.35    -8.8%  L    10 sl_hit  
HAVELLS      2017-09-12     479.60   510.50    +6.4%  W    90 time_up 
JKCEMENT     2017-09-12     995.43   905.13    -9.1%  L    10 sl_hit  
TATASTEEL    2017-09-12      52.27    53.55    +2.4%  W    90 time_up 
TATACHEM     2017-09-13     224.21   256.28   +14.3%  W    90 time_up 
AXISBANK     2017-09-14     516.95   461.99   -10.6%  L    34 sl_hit  
SOBHA        2017-09-19     386.26   551.30   +42.7%  W    90 time_up 
MFSL         2017-09-21     645.75   580.05   -10.2%  L    25 sl_hit  
CHOLAHLDNG   2017-09-22     513.35   601.03   +17.1%  W    90 time_up 
DEEPAKNTR    2017-09-26     181.61   225.77   +24.3%  W    91 time_up 
ALKEM        2017-09-27    1697.07  2008.65   +18.4%  W    90 time_up 
NAVINFLUOR   2017-10-05     709.45   775.62    +9.3%  W    90 time_up 
PRESTIGE     2017-10-09     291.01   322.44   +10.8%  W    91 time_up 
BRITANNIA    2017-10-12    2010.49  2068.14    +2.9%  W    90 time_up 
DABUR        2017-10-12     297.83   328.38   +10.3%  W    90 time_up 
INDUSTOWER   2017-10-12     321.52   273.93   -14.8%  L    60 sl_hit  
TCS          2017-10-12    1041.04  1149.73   +10.4%  W    90 time_up 
SOLARINDS    2017-10-18     968.64  1126.98   +16.4%  W    90 time_up 
COROMANDEL   2017-10-23     451.29   519.33   +15.1%  W    91 time_up 
PAGEIND      2017-10-24   18334.49 20117.97    +9.7%  W    90 time_up 
HCLTECH      2017-10-25     357.73   337.18    -5.7%  L     2 sl_hit  
ICICIBANK    2017-10-25     293.64   348.00   +18.5%  W    90 time_up 
UBL          2017-10-25     895.53  1128.50   +26.0%  W    90 time_up 
MARUTI       2017-10-27    7534.86  8615.49   +14.3%  W    90 time_up 
SUNDARMFIN   2017-10-30    1333.92  1414.63    +6.0%  W    91 time_up 
SUZLON       2017-10-30      15.20    13.45   -11.5%  L    14 sl_hit  
CHOLAFIN     2017-11-01     238.08   250.28    +5.1%  W    90 time_up 
UNOMINDA     2017-11-01     143.86   199.60   +38.7%  W    90 time_up 
AUROPHARMA   2017-11-02     752.63   677.24   -10.0%  L    11 sl_hit  
RAMCOCEM     2017-11-02     699.23   738.68    +5.6%  W    90 time_up 
SCHAEFFLER   2017-11-02     968.14  1036.05    +7.0%  W    90 time_up 
3MINDIA      2017-11-03   14316.99 17913.07   +25.1%  W    90 time_up 
SJVN         2017-11-07      23.33    22.16    -5.0%  L    90 time_up 
GSPL         2017-11-09     197.75   176.52   -10.7%  L    85 sl_hit  
INTELLECT    2017-11-09     143.62   183.15   +27.5%  W    90 time_up 
BASF         2017-11-14    1794.42  2175.10   +21.2%  W    90 time_up 
JUBLFOOD     2017-11-24     176.86   193.69    +9.5%  W    90 time_up 
APLAPOLLO    2017-11-30     191.41   198.48    +3.7%  W    90 time_up 
PGHH         2017-11-30    8393.72  8387.02    -0.1%  L    90 time_up 
LTTS         2017-12-01    1005.56  1285.71   +27.9%  W    90 time_up 
GAIL         2017-12-08      85.01    78.14    -8.1%  L    90 sl_hit  
AARTIIND     2017-12-15     224.05   275.79   +23.1%  W    90 time_up 
EMAMILTD     2017-12-20     570.66   525.63    -7.9%  L    35 sl_hit  
ENGINERSIN   2017-12-22     154.83   134.70   -13.0%  L    27 sl_hit  
MRF          2017-12-22   71946.83 68661.08    -4.6%  L    90 time_up 
DIVISLAB     2017-12-27    1062.14   936.73   -11.8%  L    70 sl_hit  
SWANCORP     2018-01-01     191.93   179.34    -6.6%  L    77 sl_hit  
VBL          2018-01-01      37.96    37.13    -2.2%  L    91 time_up 
NMDC         2018-01-10      22.82    18.06   -20.9%  L    54 sl_hit  
INFY         2018-01-11     432.22   451.68    +4.5%  W    90 time_up 
SONATSOFTW   2018-01-11      87.55    99.27   +13.4%  W    90 time_up 
CHENNPETRO   2018-01-12     370.96   343.38    -7.4%  L    17 sl_hit  
M&MFIN       2018-01-16     262.59   243.80    -7.2%  L    17 sl_hit  
TECHM        2018-01-16     422.03   506.08   +19.9%  W    90 time_up 
CONCOR       2018-01-18     519.52   472.17    -9.1%  L    19 sl_hit  
ZFCVINDIA    2018-01-18    7617.39  7816.61    +2.6%  W    90 time_up 
ADANIPORTS   2018-01-19     413.85   359.91   -13.0%  L    47 sl_hit  
HAVELLS      2018-01-22     523.72   472.92    -9.7%  L    14 sl_hit  
INDIANB      2018-01-23     341.78   303.96   -11.1%  L     9 sl_hit  
ECLERX       2018-01-24     524.36   490.67    -6.4%  L     9 sl_hit  
SYNGENE      2018-01-24     325.63   324.30    -0.4%  L    90 time_up 
MARUTI       2018-01-29    8942.81  8185.33    -8.5%  L    91 time_up 
IIFL         2018-01-31     365.14   382.45    +4.7%  W    91 time_up 
BHARATFORG   2018-02-08     718.66   659.60    -8.2%  L    42 sl_hit  
CHOLAFIN     2018-02-12     266.24   307.01   +15.3%  W    91 time_up 
COROMANDEL   2018-02-23     498.74   427.23   -14.3%  L    60 sl_hit  
ASTRAL       2018-02-27     388.36   429.24   +10.5%  W    90 time_up 
ABBOTINDIA   2018-03-06    5163.26  5895.08   +14.2%  W    90 time_up 
PERSISTENT   2018-03-13     390.88   319.18   -18.3%  L    15 sl_hit  
DIVISLAB     2018-03-15    1025.36   983.52    -4.1%  L    90 time_up 
JUBLFOOD     2018-03-15     210.58   261.92   +24.4%  W    90 time_up 
SUNDRMFAST   2018-03-15     575.28   602.10    +4.7%  W    90 time_up 
ZENSARTECH   2018-04-04     168.50   226.89   +34.7%  W    90 time_up 
IPCALAB      2018-04-12     346.14   311.28   -10.1%  L    55 sl_hit  
IRB          2018-04-12      25.20    18.72   -25.7%  L    77 sl_hit  
