VCP SETUP A — 2126 stocks — 2015-2026
Total: 3487 | WR: 54.7% | R:R: 2.01 | Exp: +6.8%

STOCK        DATE            ENTRY     EXIT    RET%  W  DAYS REASON  
-----------------------------------------------------------------
TRIDENT      2016-12-15       4.86     6.75   +38.8%  W    90 time_up 
GLENMARK     2016-12-16     898.27   865.57    -3.6%  L    90 time_up 
JSL          2016-12-19      37.66    70.99   +88.5%  W    91 time_up 
BALRAMCHIN   2016-12-28     107.55   131.98   +22.7%  W    90 time_up 
KSB          2016-12-28     115.85   123.94    +7.0%  W    90 time_up 
IOC          2016-12-29      57.26    68.77   +20.1%  W    90 time_up 
TIMKEN       2016-12-29     567.77   594.57    +4.7%  W    90 time_up 
VOLTAS       2016-12-29     313.45   392.35   +25.2%  W    90 time_up 
CHENNPETRO   2017-01-02     222.51   295.00   +32.6%  W    91 time_up 
DLF          2017-01-02     109.93   136.00   +23.7%  W    91 time_up 
BPCL         2017-01-03     119.04   122.37    +2.8%  W    90 time_up 
EIDPARRY     2017-01-03     243.92   266.02    +9.1%  W    90 time_up 
GMRAIRPORT   2017-01-03      11.04    14.69   +33.1%  W    90 time_up 
KIRLOSBROS   2017-01-03     163.02   246.25   +51.1%  W    90 time_up 
APARINDS     2017-01-04     573.11   684.78   +19.5%  W    91 time_up 
